Unnamed: 0,status,founded_at,funding_rounds,funding_total_usd,milestones,relationships,lat,lng,isClosed,active_days,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_BRA,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_IRL,country_code_ISR,country_code_NLD,country_code_USA,country_code_other
253,1,2011,5.0,125371133.0,1.0,6.0,41.49932,-81.6943605,1,4015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,1,2007,5.0,125371133.0,1.0,3.0,52.3702157,4.895167900000001,1,7665.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
257,1,2006,5.0,125371133.0,1.0,4.0,55.6760968,12.568337199999998,1,6935.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
261,1,2009,5.0,125371133.0,1.0,4.0,39.7392358,-104.990251,1,5110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
263,1,1987,5.0,125371133.0,1.0,4.0,43.2220234,-71.7139655,1,5475.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
266,1,1971,5.0,125371133.0,1.0,4.0,24.8614622,67.00993879999999,1,6205.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
267,1,2007,5.0,125371133.0,1.0,1.0,40.7259336,-73.51429209999999,1,8030.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
269,1,2005,5.0,125371133.0,1.0,1.0,37.6624312,-121.8746789,1,4015.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
272,1,2006,4.0,57735800.0,4.0,50.0,40.4167754,-3.7037902,1,5840.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
273,1,2006,5.0,125371133.0,2.0,2.0,40.7127753,-74.0059728,1,4745.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
276,1,1998,5.0,125371133.0,1.0,9.0,44.9537029,-93.0899578,1,3650.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
279,1,2003,5.0,125371133.0,1.0,2.0,42.4792618,-71.1522765,1,7300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
283,1,2006,5.0,125371133.0,1.0,4.0,52.486243,-1.890401,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
285,1,2001,5.0,125371133.0,1.0,4.0,51.5073509,-0.1277583,1,6205.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
286,1,2011,5.0,125371133.0,1.0,2.0,36.1699412,-115.13982959999998,1,4015.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
